symbol,name,market,sector_l1,category_l2,data_asof,source
003240.KS,태광산업,KOSPI,화학,chemical,2026-02-19,pykrx
003490.KS,대한항공,KOSPI,운송·창고,other,2026-02-19,pykrx
003550.KS,LG,KOSPI,기타금융,financial,2026-02-19,pykrx
003670.KS,포스코퓨처엠,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
004000.KS,롯데정밀화학,KOSPI,화학,chemical,2026-02-19,pykrx
004020.KS,현대제철,KOSPI,금속,materials_metal,2026-02-19,pykrx
004170.KS,신세계,KOSPI,유통,consumer_retail,2026-02-19,pykrx
004370.KS,농심,KOSPI,음식료·담배,food_beverage,2026-02-19,pykrx
004490.KS,세방전지,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
004990.KS,롯데지주,KOSPI,기타금융,financial,2026-02-19,pykrx
005250.KS,녹십자홀딩스,KOSPI,일반서비스,services,2026-02-19,pykrx
005300.KS,롯데칠성,KOSPI,음식료·담배,food_beverage,2026-02-19,pykrx
005380.KS,현대차,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
005420.KS,코스모화학,KOSPI,화학,chemical,2026-02-19,pykrx
005490.KS,POSCO홀딩스,KOSPI,금속,materials_metal,2026-02-19,pykrx
005830.KS,DB손해보험,KOSPI,보험,insurance,2026-02-19,pykrx
005850.KS,에스엘,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
005930.KS,삼성전자,KOSPI,전기·전자,semiconductor,2026-02-19,pykrx
005940.KS,NH투자증권,KOSPI,증권,brokerage,2026-02-19,pykrx
006040.KS,동원산업,KOSPI,기타금융,financial,2026-02-19,pykrx
006260.KS,LS,KOSPI,기타금융,financial,2026-02-19,pykrx
006280.KS,녹십자,KOSPI,제약,biotech_pharma,2026-02-19,pykrx
006360.KS,GS건설,KOSPI,건설,construction,2026-02-19,pykrx
006400.KS,삼성SDI,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
006650.KS,대한유화,KOSPI,화학,chemical,2026-02-19,pykrx
006800.KS,미래에셋증권,KOSPI,증권,brokerage,2026-02-19,pykrx
007070.KS,GS리테일,KOSPI,유통,consumer_retail,2026-02-19,pykrx
007310.KS,오뚜기,KOSPI,음식료·담배,food_beverage,2026-02-19,pykrx
007340.KS,DN오토모티브,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
007660.KS,이수페타시스,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
008730.KS,율촌화학,KOSPI,화학,chemical,2026-02-19,pykrx
008770.KS,호텔신라,KOSPI,유통,consumer_retail,2026-02-19,pykrx
008930.KS,한미사이언스,KOSPI,기타금융,financial,2026-02-19,pykrx
009150.KS,삼성전기,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
009240.KS,한샘,KOSPI,유통,consumer_retail,2026-02-19,pykrx
009420.KS,한올바이오파마,KOSPI,제약,biotech_pharma,2026-02-19,pykrx
009540.KS,HD한국조선해양,KOSPI,기타금융,financial,2026-02-19,pykrx
009830.KS,한화솔루션,KOSPI,화학,chemical,2026-02-19,pykrx
009970.KS,영원무역홀딩스,KOSPI,기타금융,financial,2026-02-19,pykrx
010060.KS,OCI홀딩스,KOSPI,기타금융,financial,2026-02-19,pykrx
010120.KS,LS ELECTRIC,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
010130.KS,고려아연,KOSPI,금속,materials_metal,2026-02-19,pykrx
010140.KS,삼성중공업,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
010950.KS,S-Oil,KOSPI,화학,chemical,2026-02-19,pykrx
011070.KS,LG이노텍,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
