import time: self [us] | cumulative | imported package
import time:      1086 |       2293 |         openbb_multpl.models.sp500_multiples
import time:        93 |         93 |           openbb_nasdaq.models
import time:      1442 |       1535 |         openbb_nasdaq.models.calendar_dividend
import time:      1786 |       1786 |         openbb_nasdaq.models.calendar_earnings
import time:      1795 |       1795 |         openbb_nasdaq.models.calendar_ipo
import time:      1753 |       1753 |         openbb_nasdaq.models.company_filings
import time:      1651 |       1651 |         openbb_nasdaq.models.economic_calendar
import time:      2954 |       2954 |         openbb_nasdaq.models.equity_screener
import time:      1509 |       1509 |         openbb_nasdaq.models.equity_search
import time:      1538 |       1538 |         openbb_nasdaq.models.historical_dividends
import time:       752 |        752 |           openbb_core.provider.standard_models.top_retail
import time:       797 |       1548 |         openbb_nasdaq.models.top_retail
import time:        76 |         76 |           openbb_oecd.models
import time:       819 |        819 |           openbb_core.provider.standard_models.composite_leading_indicator
import time:      1427 |       2322 |         openbb_oecd.models.composite_leading_indicator
import time:        54 |         54 |             openbb_oecd.utils
import time:       256 |        309 |           openbb_oecd.utils.constants
import time:      1289 |       1598 |         openbb_oecd.models.consumer_price_index
import time:       928 |        928 |           openbb_core.provider.standard_models.country_interest_rates
import time:      1313 |       2241 |         openbb_oecd.models.country_interest_rates
import time:       805 |        805 |           openbb_core.provider.standard_models.gdp_forecast
import time:      1120 |       1925 |         openbb_oecd.models.gdp_forecast
import time:      1319 |       1319 |         openbb_oecd.models.gdp_nominal
import time:       818 |        818 |           openbb_core.provider.standard_models.gdp_real
import time:      1129 |       1946 |         openbb_oecd.models.gdp_real
import time:      1190 |       1190 |           openbb_core.provider.standard_models.house_price_index
import time:      1073 |       2262 |         openbb_oecd.models.house_price_index
import time:      1645 |       1645 |           openbb_core.provider.standard_models.share_price_index
import time:      1180 |       2825 |         openbb_oecd.models.share_price_index
import time:      1043 |       1043 |           openbb_core.provider.standard_models.unemployment
import time:      1381 |       2423 |         openbb_oecd.models.unemployment
import time:        91 |         91 |           openbb_sec.models
import time:       733 |        733 |           openbb_core.provider.standard_models.cik_map
import time:       822 |       1644 |         openbb_sec.models.cik_map
import time:        70 |         70 |             openbb_sec.utils
import time:       680 |        750 |           openbb_sec.utils.definitions
import time:      2493 |       3243 |         openbb_sec.models.company_filings
import time:      1138 |       1138 |           openbb_core.provider.standard_models.compare_company_facts
import time:      2867 |       4005 |         openbb_sec.models.compare_company_facts
import time:      1114 |       1114 |           openbb_core.provider.standard_models.equity_ftd
import time:      1311 |       2424 |         openbb_sec.models.equity_ftd
import time:       948 |        948 |         openbb_sec.models.equity_search
import time:      1747 |       1747 |           openbb_core.provider.standard_models.form_13FHR
import time:      1742 |       3488 |         openbb_sec.models.form_13FHR
import time:       873 |        873 |         openbb_sec.models.htm_file
import time:      3638 |       3638 |         openbb_sec.models.insider_trading
import time:       947 |        947 |         openbb_sec.models.institutions_search
import time:      1253 |       1253 |           openbb_core.provider.standard_models.latest_financial_reports
import time:      1726 |       2978 |         openbb_sec.models.latest_financial_reports
import time:      1154 |       1154 |           openbb_core.provider.standard_models.management_discussion_analysis
import time:      1553 |       2706 |         openbb_sec.models.management_discussion_analysis
import time:      6071 |       6071 |         openbb_sec.models.nport_disclosure
import time:      1116 |       1116 |         openbb_sec.models.rss_litigation
import time:      2243 |       2243 |         openbb_sec.models.schema_files
import time:      3589 |       3589 |         openbb_sec.models.sec_filing
import time:       982 |        982 |         openbb_sec.models.sic_search
import time:       385 |        385 |           openbb_core.provider.standard_models.symbol_map
import time:       808 |       1192 |         openbb_sec.models.symbol_map
import time:        97 |         97 |           openbb_seeking_alpha.models
import time:        66 |         66 |             openbb_seeking_alpha.utils
import time:       133 |        199 |           openbb_seeking_alpha.utils.helpers
import time:      1812 |       2107 |         openbb_seeking_alpha.models.calendar_earnings
import time:      1978 |       1978 |         openbb_seeking_alpha.models.forward_eps_estimates
import time:      1909 |       1909 |         openbb_seeking_alpha.models.forward_sales_estimates
import time:        75 |         75 |           openbb_stockgrid.models
import time:       955 |        955 |           openbb_core.provider.standard_models.short_volume
import time:      1135 |       2165 |         openbb_stockgrid.models.short_volume
import time:        89 |         89 |           openbb_tiingo.models
import time:      1999 |       2087 |         openbb_tiingo.models.company_news
import time:      1645 |       1645 |         openbb_tiingo.models.crypto_historical
import time:      1446 |       1446 |         openbb_tiingo.models.currency_historical
import time:      1906 |       1906 |         openbb_tiingo.models.equity_historical
import time:       922 |        922 |           openbb_core.provider.standard_models.trailing_dividend_yield
import time:       942 |       1863 |         openbb_tiingo.models.trailing_dividend_yield
import time:      1919 |       1919 |         openbb_tiingo.models.world_news
import time:        97 |         97 |           openbb_tmx.models
import time:      1025 |       1122 |         openbb_tmx.models.available_indices
import time:      1666 |       1666 |           openbb_core.provider.standard_models.bond_reference
import time:      2491 |       4156 |         openbb_tmx.models.bond_prices
import time:      1369 |       1369 |         openbb_tmx.models.calendar_earnings
import time:      1331 |       1331 |         openbb_tmx.models.company_filings
import time:      1455 |       1455 |         openbb_tmx.models.company_news
import time:      1917 |       1917 |         openbb_tmx.models.equity_historical
import time:      2780 |       2780 |         openbb_tmx.models.equity_profile
import time:      6977 |       6977 |         openbb_tmx.models.equity_quote
import time:       957 |        957 |         openbb_tmx.models.equity_search
import time:       923 |        923 |         openbb_tmx.models.etf_countries
import time:      1827 |       1827 |         openbb_tmx.models.etf_holdings
import time:      3141 |       3141 |         openbb_tmx.models.etf_info
import time:      4197 |       4197 |         openbb_tmx.models.etf_search
import time:       966 |        966 |         openbb_tmx.models.etf_sectors
import time:      1575 |       1575 |         openbb_tmx.models.gainers
import time:      1328 |       1328 |         openbb_tmx.models.historical_dividends
import time:       932 |        932 |         openbb_tmx.models.index_constituents
import time:       763 |        763 |           openbb_core.provider.standard_models.index_sectors
import time:       821 |       1583 |         openbb_tmx.models.index_sectors
import time:      2758 |       2758 |         openbb_tmx.models.index_snapshots
import time:      2317 |       2317 |         openbb_tmx.models.insider_trading
import time:      9755 |       9755 |         openbb_tmx.models.options_chains
import time:      1635 |       1635 |         openbb_tmx.models.price_target_consensus
import time:      2159 |       2159 |         openbb_tmx.models.treasury_prices
import time:        92 |         92 |           openbb_tradier.models
import time:        55 |         55 |             openbb_tradier.utils
import time:       130 |        184 |           openbb_tradier.utils.constants
import time:      1576 |       1852 |         openbb_tradier.models.equity_historical
import time:      4561 |       4561 |         openbb_tradier.models.equity_quote
import time:      1126 |       1126 |         openbb_tradier.models.equity_search
import time:      9345 |       9345 |         openbb_tradier.models.options_chains
import time:        79 |         79 |           openbb_tradingeconomics.models
import time:        41 |         41 |             openbb_tradingeconomics.utils
import time:       225 |        265 |           openbb_tradingeconomics.utils.countries
import time:      3199 |       3543 |         openbb_tradingeconomics.models.economic_calendar
import time:        92 |         92 |           openbb_us_eia.models
import time:      1153 |       1153 |           openbb_core.provider.standard_models.petroleum_status_report
import time:        95 |         95 |             openbb_us_eia.utils
import time:       519 |        614 |           openbb_us_eia.utils.constants
import time:      1384 |       3242 |         openbb_us_eia.models.petroleum_status_report
import time:      1098 |       1098 |           openbb_core.provider.standard_models.short_term_energy_outlook
import time:      1259 |       2356 |         openbb_us_eia.models.short_term_energy_outlook
import time:       105 |        105 |           openbb_wsj.models
import time:      1114 |       1114 |           openbb_core.provider.standard_models.etf_performance
import time:      1434 |       2652 |         openbb_wsj.models.active
import time:      1526 |       1526 |         openbb_wsj.models.gainers
import time:      1486 |       1486 |         openbb_wsj.models.losers
import time:        91 |         91 |           openbb_yfinance.models
import time:        60 |         60 |             openbb_yfinance.utils
import time:      2740 |       2799 |           openbb_yfinance.utils.references
import time:      1944 |       4833 |         openbb_yfinance.models.active
import time:      1816 |       1816 |         openbb_yfinance.models.aggressive_small_caps
import time:       921 |        921 |         openbb_yfinance.models.available_indices
import time:      1065 |       1065 |         openbb_yfinance.models.balance_sheet
import time:      1130 |       1130 |         openbb_yfinance.models.cash_flow
import time:      1990 |       1990 |         openbb_yfinance.models.company_news
import time:      1299 |       1299 |         openbb_yfinance.models.crypto_historical
import time:      1163 |       1163 |         openbb_yfinance.models.currency_historical
import time:      1663 |       1663 |         openbb_yfinance.models.equity_historical
import time:      3242 |       3242 |         openbb_yfinance.models.equity_profile
import time:      2454 |       2454 |         openbb_yfinance.models.equity_quote
import time:      2836 |       2836 |         openbb_yfinance.models.equity_screener
import time:      3149 |       3149 |         openbb_yfinance.models.etf_info
import time:       869 |        869 |         openbb_yfinance.models.futures_curve
import time:      1197 |       1197 |         openbb_yfinance.models.futures_historical
import time:      1946 |       1946 |         openbb_yfinance.models.gainers
import time:      1890 |       1890 |         openbb_yfinance.models.growth_tech_equities
import time:       969 |        969 |         openbb_yfinance.models.historical_dividends
import time:      1126 |       1126 |         openbb_yfinance.models.income_statement
import time:      1379 |       1379 |         openbb_yfinance.models.index_historical
import time:      1203 |       1203 |         openbb_yfinance.models.key_executives
import time:      3453 |       3453 |         openbb_yfinance.models.key_metrics
import time:      1923 |       1923 |         openbb_yfinance.models.losers
import time:     11180 |      11180 |         openbb_yfinance.models.options_chains
import time:      2906 |       2906 |         openbb_yfinance.models.price_target_consensus
import time:      2133 |       2133 |         openbb_yfinance.models.share_statistics
import time:      2499 |       2499 |         openbb_yfinance.models.undervalued_growth_equities
import time:      2110 |       2110 |         openbb_yfinance.models.undervalued_large_caps
import time:      4818 |       4818 |             openbb_core.app.model.credentials
import time:       581 |        581 |             openbb_core.app.model.defaults
import time:       843 |        843 |             openbb_core.app.model.preferences
import time:       884 |       7125 |           openbb_core.app.model.user_settings
import time:       724 |       7848 |         openbb_core.app.model.command_context
import time:       153 |        153 |         openbb_core.app.query
import time:        92 |         92 |           openbb_commodity.price
import time:       413 |        413 |                   pydantic.v1.typing
import time:      1203 |       1615 |                 pydantic.v1.errors
import time:      1906 |       1906 |                           Cython.Shadow
import time:       256 |       2161 |                         Cython
import time:        15 |       2176 |                       Cython.Shadow
import time:       140 |       2315 |                     cython
import time:       122 |       2437 |                   pydantic.v1.version
import time:       772 |       3208 |                 pydantic.v1.utils
import time:       516 |       5339 |               pydantic.v1.class_validators
import time:       581 |        581 |               pydantic.v1.config
import time:       389 |        389 |                   pydantic.v1.color
import time:      1216 |       1216 |                       pydantic.v1.datetime_parse
import time:       733 |       1949 |                     pydantic.v1.validators
import time:       960 |       2908 |                   pydantic.v1.networks
import time:      1591 |       1591 |                   pydantic.v1.types
import time:       256 |       5142 |                 pydantic.v1.json
import time:       354 |       5496 |               pydantic.v1.error_wrappers
import time:       875 |        875 |               pydantic.v1.fields
import time:       211 |        211 |                 pydantic.v1.parse
import time:       731 |        731 |                 pydantic.v1.schema
import time:      1123 |       2064 |               pydantic.v1.main
import time:       621 |      14973 |             pydantic.v1.dataclasses
import time:       144 |        144 |             pydantic.v1.annotated_types
import time:       227 |        227 |             pydantic.v1.decorator
import time:       651 |        651 |             pydantic.v1.env_settings
import time:       199 |        199 |             pydantic.v1.tools
import time:       283 |      16474 |           pydantic.v1
import time:      8943 |      25508 |         openbb_commodity.price.price_router
import time:        71 |         71 |           openbb_crypto.price
import time:      3533 |       3604 |         openbb_crypto.price.price_router
import time:        94 |         94 |           openbb_currency.price
import time:      2743 |       2837 |         openbb_currency.price.price_router
import time:        61 |         61 |           openbb_derivatives.futures
import time:      8628 |       8689 |         openbb_derivatives.futures.futures_router
import time:       138 |        138 |           openbb_derivatives.options
import time:     14663 |      14800 |         openbb_derivatives.options.options_router
import time:       775 |        775 |         _strptime
import time:        55 |         55 |           openbb_economy.gdp
import time:      7805 |       7859 |         openbb_economy.gdp.gdp_router
import time:       104 |        104 |           openbb_economy.shipping
import time:      9056 |       9160 |         openbb_economy.shipping.shipping_router
import time:        61 |         61 |           openbb_economy.survey
import time:     20075 |      20136 |         openbb_economy.survey.survey_router
import time:        76 |         76 |           openbb_equity.calendar
import time:     11872 |      11948 |         openbb_equity.calendar.calendar_router
import time:       104 |        104 |           openbb_equity.compare
import time:      7270 |       7374 |         openbb_equity.compare.compare_router
import time:       106 |        106 |           openbb_equity.darkpool
import time:      2625 |       2730 |         openbb_equity.darkpool.darkpool_router
import time:       104 |        104 |           openbb_equity.discovery
import time:     25577 |      25680 |         openbb_equity.discovery.discovery_router
import time:       154 |        154 |           openbb_equity.estimates
import time:     20483 |      20637 |         openbb_equity.estimates.estimates_router
import time:       124 |        124 |           openbb_equity.fundamental
import time:     52611 |      52734 |         openbb_equity.fundamental.fundamental_router
import time:       127 |        127 |           openbb_equity.ownership
import time:     13902 |      14029 |         openbb_equity.ownership.ownership_router
import time:       118 |        118 |           openbb_equity.price
import time:      8033 |       8151 |         openbb_equity.price.price_router
import time:        98 |         98 |           openbb_equity.shorts
import time:      5516 |       5614 |         openbb_equity.shorts.shorts_router
import time:        74 |         74 |           openbb_etf.discovery
import time:      5495 |       5569 |         openbb_etf.discovery.discovery_router
import time:        62 |         62 |           openbb_fixedincome.corporate
import time:     11435 |      11496 |         openbb_fixedincome.corporate.corporate_router
import time:       127 |        127 |           openbb_fixedincome.government
import time:     15562 |      15688 |         openbb_fixedincome.government.government_router
import time:       129 |        129 |           openbb_fixedincome.rate
import time:     23512 |      23640 |         openbb_fixedincome.rate.rate_router
import time:       154 |        154 |           openbb_fixedincome.spreads
import time:      7093 |       7247 |         openbb_fixedincome.spreads.spreads_router
import time:      1996 |       1996 |         openbb_imf.models.indicator_metadata
import time:        65 |         65 |           openbb_index.price
import time:      2836 |       2901 |         openbb_index.price.price_router
import time:      2065 |       2065 |         openbb_quantitative.models
import time:        61 |         61 |           openbb_quantitative.performance
import time:      7680 |       7741 |         openbb_quantitative.performance.performance_router
import time:        66 |         66 |           openbb_quantitative.rolling
import time:     10393 |      10458 |         openbb_quantitative.rolling.rolling_router
import time:        92 |         92 |           openbb_quantitative.stats
import time:      9744 |       9835 |         openbb_quantitative.stats.stats_router
import time:        53 |         53 |           openbb_regulators.cftc
import time:      4302 |       4354 |         openbb_regulators.cftc.cftc_router
import time:       109 |        109 |           openbb_regulators.sec
import time:     16366 |      16475 |         openbb_regulators.sec.sec_router
import time:       229 |        229 |         openbb_core.app.utils
import time:       231 |        231 |         openbb_technical.helpers
import time:      2736 |       2736 |         openbb_technical.relative_rotation
import time:   2883147 |    4516756 |       openbb_core.app.static.package_builder
import time:      1749 |    4862323 |     openbb_core.app.command_runner
import time:      3913 |       3913 |     openbb_core.app.static.container
import time:        78 |         78 |             openbb_core.api
import time:       844 |        922 |           openbb_core.api.router
import time:       801 |       1722 |         openbb_core.api.router.helpers
import time:      1132 |       2853 |       openbb_core.api.router.helpers.coverage_helpers
import time:       931 |        931 |       openbb_core.app.static.reference_loader
import time:      1027 |       4810 |     openbb_core.app.static.coverage
import time:      1169 |    4874269 |   openbb_core.app.static.app_factory
import time:      1929 |       1929 |     openbb.package
import time:      1212 |       3141 |   openbb.package.__extensions__
import time:      1076 |       1076 |   openbb_core.app.service.user_service
import time:        65 |         65 |     openbb_core.app.logs
import time:        63 |         63 |       openbb_core.app.logs.formatters
import time:        58 |         58 |         openbb_core.app.logs.models
import time:        56 |         56 |           openbb_core.app.logs.utils
import time:       839 |        895 |         openbb_core.app.logs.utils.utils
import time:       928 |       1879 |       openbb_core.app.logs.models.logging_settings
import time:       769 |       2711 |     openbb_core.app.logs.formatters.formatter_with_exceptions
import time:        52 |         52 |         openbb_core.app.logs.handlers
import time:       675 |        675 |         logging.handlers
import time:      1116 |       1116 |         openbb_core.app.logs.utils.expired_files
import time:       868 |       2710 |       openbb_core.app.logs.handlers.path_tracking_file_handler
import time:       962 |       3672 |     openbb_core.app.logs.handlers_manager
import time:      1739 |       8185 |   openbb_core.app.logs.logging_service
import time:     59132 |    4957863 | openbb
