import time: self [us] | cumulative | imported package
import time:       551 |        551 |                             idna.idnadata
import time:       121 |        121 |                             idna.intranges
import time:       546 |       1217 |                           idna.core
import time:        70 |         70 |                           idna.package_data
import time:       181 |       1467 |                         idna
import time:       301 |      13447 |                       email_validator.syntax
import time:       222 |      13731 |                     email_validator.validate_email
import time:        74 |         74 |                     email_validator.version
import time:       233 |      14340 |                   email_validator
import time:      1012 |       1012 |                     email.feedparser
import time:       179 |       1190 |                   email.parser
import time:     73044 |     108159 |                 fastapi.openapi.models
import time:      1979 |     194284 |               fastapi.params
import time:       304 |        304 |               fastapi.datastructures
import time:        94 |         94 |                 fastapi.dependencies
import time:        73 |         73 |                       fastapi.security.base
import time:      1063 |       1063 |                         http.cookies
import time:       297 |        297 |                         starlette._utils
import time:       133 |        133 |                                 python_multipart.exceptions
import time:       148 |        280 |                               python_multipart.decoders
import time:       836 |       1115 |                             python_multipart.multipart
import time:       133 |       1248 |                           python_multipart
import time:       729 |       1976 |                         starlette.formparsers
import time:       388 |       3722 |                       starlette.requests
import time:       318 |       4112 |                     fastapi.security.api_key
import time:       115 |        115 |                       fastapi.security.utils
import time:       952 |       1066 |                     fastapi.security.http
import time:      1057 |       1057 |                       fastapi.param_functions
import time:       730 |       1786 |                     fastapi.security.oauth2
import time:       140 |        140 |                     fastapi.security.open_id_connect_url
import time:       173 |       7276 |                   fastapi.security
import time:        22 |       7297 |                 fastapi.security.base
import time:      1242 |       8632 |               fastapi.dependencies.models
import time:        93 |         93 |                   starlette.background
import time:       269 |        362 |                 fastapi.background
import time:        93 |         93 |                 fastapi.concurrency
import time:       158 |        158 |                 fastapi.utils
import time:       633 |        633 |                     _hashlib
import time:        49 |         49 |                     _blake2
import time:       222 |        903 |                   hashlib
import time:        63 |         63 |                     _winapi
import time:        50 |         50 |                     winreg
import time:       269 |        381 |                   mimetypes
import time:       125 |        125 |                     hmac
import time:       123 |        247 |                   secrets
import time:       351 |       1881 |                 starlette.responses
import time:       293 |        293 |                 starlette.websockets
import time:      1456 |       4240 |               fastapi.dependencies.utils
import time:       119 |        119 |                   colorsys
import time:       501 |        619 |                 pydantic.color
import time:       327 |        946 |               fastapi.encoders
import time:       101 |        101 |                 starlette._exception_handler
import time:       231 |        231 |                 starlette.convertors
import time:       163 |        163 |                 starlette.middleware
import time:       758 |       1253 |               starlette.routing
import time:      1793 |     221155 |             fastapi.routing
import time:        61 |         61 |               fastapi.websockets
import time:       123 |        184 |             fastapi.exception_handlers
import time:        68 |         68 |               fastapi.middleware
import time:       174 |        242 |             fastapi.middleware.asyncexitstack
import time:       236 |        236 |             fastapi.openapi.docs
import time:       713 |        713 |               http.client
import time:        55 |         55 |                 ujson
import time:        50 |         50 |                 orjson
import time:       145 |        248 |               fastapi.responses
import time:       459 |       1420 |             fastapi.openapi.utils
import time:       250 |        250 |               starlette.middleware.base
import time:       888 |        888 |                   html.entities
import time:       273 |       1161 |                 html
import time:       159 |       1320 |               starlette.middleware.errors
import time:       122 |        122 |               starlette.middleware.exceptions
import time:       242 |       1931 |             starlette.applications
import time:      1384 |     226762 |           fastapi.applications
import time:        84 |         84 |           fastapi.requests
import time:       202 |     227477 |         fastapi
import time:        15 |     227492 |       fastapi.encoders
import time:       207 |        207 |           importlib_metadata._meta
import time:       210 |        210 |           importlib_metadata._collections
import time:        89 |         89 |           importlib_metadata._compat
import time:       104 |        104 |           importlib_metadata._functools
import time:        91 |         91 |           importlib_metadata._itertools
import time:        63 |         63 |           importlib_metadata._typing
import time:        70 |         70 |           importlib_metadata.compat
import time:        94 |         94 |           importlib_metadata.compat.py39
import time:        60 |         60 |           importlib_metadata.compat.py311
import time:      1890 |       2873 |         importlib_metadata
import time:        98 |         98 |             openbb_core.app.model
import time:       114 |        212 |           openbb_core.app.model.abstract
import time:       174 |        385 |         openbb_core.app.model.abstract.singleton
import time:       111 |        111 |         openbb_core.app.model.extension
import time:       380 |       3748 |       openbb_core.app.extension_loader
import time:        97 |         97 |       openbb_core.app.model.abstract.error
import time:       402 |        402 |       openbb_core.app.model.abstract.warning
import time:        54 |         54 |                   openbb_core.provider.abstract
import time:       626 |        626 |                   openbb_core.provider.abstract.annotated_result
import time:        71 |         71 |                     pydantic.alias_generators
import time:       419 |        489 |                   openbb_core.provider.abstract.data
import time:       263 |        263 |                   openbb_core.provider.abstract.query_params
import time:        75 |         75 |                     openbb_core.provider.utils
import time:       643 |        643 |                     difflib
import time:       497 |        497 |                             multidict._abc
import time:       217 |        217 |                               multidict._multidict
import time:       362 |        579 |                             multidict._compat
import time:       151 |       1225 |                           multidict
import time:       359 |       1584 |                         aiohttp.hdrs
import time:        99 |         99 |                               attr._compat
