COSS Company,FOSS Core(s),Sector / Space,Round,Size (M),Month Announced,Year,Lead VC,Link
Grid AI,PyTorchLightning,,A,$18.6,October,2020,Index,https://www.businesswire.com/news/home/20201008005227/en/Grid-AI-From-the-Makers-of-PyTorch-Lightning-Emerges-From-Stealth-With-18.6m-Series-A-to-Close-the-Gap-Between-AI-Research-and-Production
Vectorized,Redpanda,,A,$15.0,January,2021,Lightspeed / GV,https://vectorized.io/blog/intelligent-data-api/
Replit,Repl.it,,A,$20.0,February,2021,A.Capital,https://blog.repl.it/seriesa
Rocket.Chat,Rocket.Chat,,A,$19.0,February,2021,Valor Capital Group,https://techcrunch.com/2021/02/03/rocket-chat-raises-19m-for-its-open-source-approach-to-integrated-enterprise-messaging/amp/
RudderStack,RudderStack,,A,$21.0,June,2021,KPCB,https://rudderstack.com/blog/RudderStack-Announces-Series-A-and-Launches-RSDX-CDP-for-Developers/
Sanity,Sanity Studio,,A,$9.3,October,2020,Threshold Ventures,https://www.sanity.io/blog/redefining-content-collaboration
Seldon,Seldon,,A,$9.4,November ,2020,"Albion VC, Cambridge Innovation",https://www.seldon.io/seldon-raises-7-1m-series-a/
Vendia,Serverless Express,,A,$15.5,February,2021,Canvas Ventures,https://www.vendia.net/blog/series-a-announcement
Snorkel AI,Snorkel,,A,$15.3,July,2020,"GV, Greylock",https://www.finsmes.com/2020/07/snorkel-ai-raises-15m-in-funding.html
Snowplow,Snowplow,,A,$10.0,January,2021,Atlantic Bridge,https://snowplowanalytics.com/blog/2021/01/12/snowplow-analytics-raises-10-million-in-series-a2-funding/
Soda,Soda SQL,,A,$14.0,February,2021,Singular,https://www.soda.io/press/soda-raises-eu11-5m-in-series-a-funding
Strapi,Strapi.js,,A,$10.0,May,2020,Index,https://strapi.io/blog/announcing-strapi-10m-series-a-funding
Streamlit,streamlit,,A,$21.0,June,2020,"GGV, Gradient",https://medium.com/streamlit/announcing-streamlits-21m-series-a-ae05daa6c885
Viam Robotics,TBA,,A,$30.0,February,2022,"Tiger Global, USV, Battery VEntures",https://www.prnewswire.com/news-releases/viam-announces-30-million-series-a-funding-round-to-scale-novel-robotics-platform-301471988.html?tc=eml_cleartime
Temporal,Temporal,,A,$18.8,October,2020,Sequoia Capital,https://docs.temporal.io/blog/funding-announcement/
Cape Privacy,TF-Encrypted,,A,$20.0,April,2021,Evolution,https://capeprivacy.com/news/cape-raises-20-million-in-series-a-funding/
TileDB,TileDB,,A,$15.0,July,2020,Two Bear,https://tiledb.com/blog/tiledb-closes-15m-series-a-for-industry-s-first-universal-data-engine-2020-07-14
Containous,Traefik,,A,$10.0,January,2020,Balterton,https://containo.us/press/containous-the-creator-of-traefik-raises-10-million-in-series-a-funding-to-make-networking-boring/
Aleph Alpha,TS-RS,,A,$27.0,August,2021,Earlybird,https://twitter.com/Aleph__Alpha/status/1419921434856538112
Memfault,Various,,A,$8.5,March,2021,Partech,https://memfault.com/news/memfault-raises-8-5m-in-series-a-funding-to-expand-the-first-end-to-end-observability-platform-for-iot-devices/
Daily,WebRTC,,A,$15.0,March,2021,Lachy Groom,https://www.daily.co/blog/daily-announces-a-15m-series-a-led-by-lachy-groom/
Tailscale,WireGuard,,A,$12.0,November ,2020,Accel,https://tailscale.com/blog/the-next-milestone
ClickHouse,,,A,$50.0,September,2021,"Index Ventures, Benchmark",https://clickhouse.com/blog/en/2021/clickhouse-inc/
Parallel,,,A,$50.0,October,2021,Paradigm,https://techcrunch.com/2021/10/21/nft-sci-fi-card-game-parallel-raises-at-500m-valuation-from-paradigm/?tpcc=tcplustwitter
SlimAI,,,A,$31.0,January,2022,"Insight Partners, StepStone Group",https://www.slim.ai/blog/slim-ai-series-a-announcement.html
Jina AI,,,A,$30.0,November,2021,Canaan Partners,https://jina.ai/blog/jina-funding/
Inrupt,,,A,$30.0,December,2021,Forte Ventures,https://techcrunch.com/2021/12/09/tim-berners-lee-inrupt-fundraise/
Appwrite,,,A,$27.0,April,2022,Tiger Global,https://appwrite.io/series-a
vFunction,,,A,$26.0,October,2021,Zeev Ventures,https://vfunction.com/newsroom/vfunction-raises-26m-in-series-a-funding-to-expand-growth-and-accelerate-app-modernization-for-the-enterprise-market/
Kubecost,,,A,$25.0,February,2022,Coatue,https://blog.kubecost.com/blog/series-a-funding-announcement/?utm_campaign=Series%20A%20announcement%20-%20Feb%202022&utm_content=198357311&utm_medium=social&utm_source=twitter&hss_channel=tw-1362521684700372994
Prophecy,,,A,$25.0,January,2022,Insight Partners,https://www.prophecy.io/blogs/prophecy-seriesa-funding
Cal.com,,,A,$25.0,April,2022,Seven Seven Six,https://cal.com/blog/cal-v-1-5
Forta,,,A,$23.0,October,2021,a16z,https://techcrunch.com/2021/09/30/forta-launches-with-23m-to-bring-better-security-to-smart-contracts/
Ory Corp,,,A,$22.0,December,2021,Insight Partners,https://twitter.com/OryCorp/status/1454745779608899584?s=20
Crowdbotics,,,A,$22.0,January,2022,Jackson Square Ventures,https://www.crowdbotics.com/blog/crowdbotics-raises-22m-series-a-to-enable-anyone-to-turn-ideas-into-code?utm_campaign=Fundraise%20Announcement&utm_content=195046579&utm_medium=social&utm_source=twitter&hss_channel=tw-836036195574427650
Conduktor,,,A,$20.0,December,2021,Accel,https://www.conduktor.io/conduktor-raises-usd20m-series-a/?utm_content=188738711&utm_medium=social&utm_source=twitter&hss_channel=tw-1113478723486060546
Dagger,,,A,$20.0,April,2022,Redpoint Ventures,https://dagger.io/blog/series-a
Vue Storefront,,,A,$17.4,October,2021,Creandum,https://www.vuestorefront.io/blog/vue-storefront-closes-17-4-million-series-a-financing?utm_campaign=Series%20A%20Announcement&utm_content=183281988&utm_medium=social&utm_source=twitter&hss_channel=tw-965520890225098752
SeMI Technologies,,,A,$16.0,February,2022,NEA,https://finance.yahoo.com/news/semi-technologies-16m-series-round-141500875.html
Garden.io,,,A,$16.0,April,2022,"Sorenson Ventures, 468 Capital",https://www.businesswire.com/news/home/20220330005139/en/Garden.io-Secures-16-Million-Series-A-to-Combat-Waste-in-Cloud-Development
Jscrambler,,,A,$15.0,September,2021,Ace Capital Partners,https://blog.jscrambler.com/jscrambler-raises-15-million-in-series-a-funding-to-rewrite-the-rules-of-website-security/
Rumble,,,A,$15.0,March,2022,Decibel PArtners,https://www.rumble.run/press/series-a-funding/
JiHu,,,A,$15.0,April,2022,"Temasek Holdings, TaiKang Life Insurance",https://www.ngpcap.com/insights/jihu-gitlab-announced-hundreds-of-millions-of-rmb-in-series-a-financing-to-accelerate-the-devops-open-source-ecosystem-development-in-china
TruffleSecurity,,,A,$14.0,December,2021,a16z,https://trufflesecurity.com/blog/truffle-security-raises-14-million-lead-by-a16z
Unleash,,,A,$14.0,March,2022,Spark Capital,https://www.getunleash.io/blog/unleash-raises-a-14m-series-a-to-make-feature-management-available-open-source
Ockam,,,A,$12.5,January,2022,Craft Ventures,https://www.ockam.io/learn/blog/series_a/
QuestDB,,,A,$12.0,November,2021,"468 Capital, Uncorrelated Ventures",https://techcrunch.com/2021/11/03/questdb-snares-12m-series-a-with-hosted-version-on-the-horizon/
Appsmith,,,A,$8.0,October,2021,"Accel, Canaan Partners, Bessemer",https://www.appsmith.com/blog/10-5mn-funding-raised-how-we-got-here-and-where-we-want-to-go
Ethyca,,,A,$7.5,November,2021,"Lee Fixel, IA Ventures, LGF, Table Management",https://techcrunch.com/2021/11/03/ethyca-fides-privacy-codebase/?tpcc=tcplustwitter
Greymatter.io,,,A,$7.1,April,2022,Elsewhere Partners,https://greymatter.io/blog/greymatter-io-expands-to-address-microservices-boom/
Exein,,,A,$6.8,September,2021,"Future Industry Ventures, eCAPITAL Entrepreneurial Partners",https://tech.eu/brief/roman-cybersecurity-company-exein-nets-e6-million-in-new-funding/
Efabless,,,A,NA,January,2022,New North Ventures,https://www.newelectronics.co.uk/electronics-news/efabless-series-a-1-funding-round-drives-open-source-enabled-chip-design/243553/
