date,Open,High,Low,Close,Volume
2021-10-23,64517.65,66237.52,61029.27,61029.27,26882546034
2021-10-27,61572.14,63228.21,60604.19,60604.19,43657076893
2021-10-31,58641.0,62283.2,58641.0,61837.26,32241199927
2021-11-03,61471.87,63247.21,61121.83,63247.21,36124731509
2021-11-07,63130.94,63130.94,61247.38,61661.36,24726754302
2021-11-11,63153.23,67617.02,63153.23,65061.05,35880633236
2021-11-15,65005.65,65648.98,64432.05,65648.98,30558763548
2021-11-19,63933.84,63933.84,56987.32,56987.32,38702407772
2021-11-23,58459.26,60082.91,56386.86,56386.86,37485803899
2021-11-27,57748.79,58897.85,53827.79,53827.79,30560857714
2021-11-30,54533.4,57848.77,54533.4,57848.77,36708594618
2021-12-03,57011.28,57169.37,56508.27,56508.27,39789134215
2021-12-07,53785.97,53785.97,49161.99,50461.58,33676814852
2021-12-11,50647.66,50647.66,47303.56,47303.56,25775869261
2021-12-15,49242.3,50051.08,46696.3,48410.56,36541828520
2021-12-19,48936.86,48936.86,46328.7,46970.06,25154053861
2021-12-23,46807.05,49145.22,46807.05,48755.9,28223878108
2021-12-27,50900.61,50900.61,50663.49,50852.86,24324345758
2021-12-31,50774.07,50774.07,46506.99,47191.87,36974172400
2022-01-03,46319.65,47816.08,46319.65,47387.21,33071628362
2022-01-07,46531.14,46531.14,43216.46,43216.46,84196607520
2022-01-11,41527.2,41869.86,41527.2,41869.86,26327648900
2022-01-15,42777.21,43981.88,42608.41,43120.85,18371348298
2022-01-19,43226.65,43226.65,42298.34,42395.46,23091543258
2022-01-23,41749.55,41749.55,35180.44,35180.44,26017975951
2022-01-27,36306.41,36988.93,36306.41,36870.44,25041426629
2022-01-31,37276.84,38232.18,37276.84,37983.15,20734730465
2022-02-03,38555.53,38835.69,37000.98,37000.98,18591534769
2022-02-07,37101.35,42475.54,37101.35,42475.54,28641855926
2022-02-11,43910.93,44383.89,43628.14,43628.14,26954925781
2022-02-15,42445.39,42634.57,42247.84,42634.57,22721659051
2022-02-19,44574.32,44574.32,40073.5,40073.5,13736557863
2022-02-23,40192.76,40192.76,37059.98,38337.2,21849073843
2022-02-27,37372.29,39316.16,37372.29,39090.2,23450127612
2022-02-28,37803.59,44459.59,37803.59,43980.71,35690014104
2022-03-07,42491.98,42491.98,38442.99,38442.99,28546143503
2022-03-11,38076.49,41986.03,38076.49,39468.35,26364890465
2022-03-15,38775.18,39669.42,37852.53,39669.42,23934000868
2022-03-19,39331.85,41837.41,39331.85,41837.41,19664853187
2022-03-23,42201.94,42401.9,41061.82,42401.9,25242943069
2022-03-27,42802.15,44510.84,42802.15,44510.84,28160889722
2022-03-31,46715.12,47459.26,46715.12,47063.37,33327427106
2022-04-03,45528.41,46270.2,45528.41,45842.14,25414397610
2022-04-07,46434.56,46622.64,43198.78,43198.78,26101973106
2022-04-11,43515.15,43515.15,42274.91,42274.91,33949912166
2022-04-15,39603.97,41205.17,39603.97,39959.46,21756855753
2022-04-19,40586.6,40833.54,39739.12,40833.54,25303206547
2022-04-23,41498.12,41498.12,39756.85,39756.85,16138021249
2022-04-27,39561.78,40488.88,38134.22,38134.22,30981015184
2022-04-30,39237.95,39741.77,38650.55,38650.55,23895713731
2022-05-03,37820.61,38561.57,37820.61,38561.57,27326943244
2022-05-07,37758.5,39699.02,36116.39,36116.39,24375896406
2022-05-11,35573.31,35573.31,30269.59,31026.93,70388855818
2022-05-15,28913.49,30189.33,28913.49,30189.33,25835372065
2022-05-19,31319.31,31319.31,28772.2,28772.2,33773447707
2022-05-23,30382.41,30382.41,29256.81,30351.05,31483454557
2022-05-27,29163.17,29655.03,29163.17,29346.78,36582005748
2022-05-31,28646.65,31740.94,28646.65,31740.94,33538210634
2022-06-03,31865.75,31865.75,29833.45,30481.01,26175547452
2022-06-07,29714.14,31372.58,29714.14,31372.58,40770974039
2022-06-11,31265.47,31265.47,29101.3,29101.3,27246574439
2022-06-15,28374.14,28374.14,22244.85,22244.85,54912007015
2022-06-19,22529.2,22529.2,19047.42,19047.42,35329942625
